Count_of_images:;109;;;;;;;;;;
Picture;Response;Number_of_dice;Results;;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162407.png;clustering;3D;3;1;9;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162417.png;correct;4D;3;4;2;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162437.png;correct;4D;6;3;1;3;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162445.png;clustering;2D;11;10;;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162453.png;correct;4D;5;4;2;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162538.png;correct;4D;4;3;2;5;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162546.png;correct;4D;2;4;5;3;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162555.png;correct;4D;1;6;1;4;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162614.png;correct;4D;4;4;4;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162646.png;clustering;3D;2;1;8;;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162655.png;correct;4D;4;5;6;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221113-162703.png;correct;4D;6;2;3;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101219.png;correct;4D;3;6;4;2;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101241.png;correct;6D;4;5;5;1;2;4;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101250.png;correct;6D;4;5;1;6;5;4;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101301.png;correct;6D;6;1;4;2;4;2;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101310.png;correct;6D;6;3;5;4;6;1;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101323.png;correct;6D;2;4;4;3;5;1;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101353.png;correct;6D;6;6;4;1;1;6;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101412.png;clustering;5D;1;5;5;2;6;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101424.png;clustering;4D;4;3;1;8;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101444.png;correct;6D;4;2;4;2;1;1;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101454.png;correct;6D;5;5;5;2;5;4;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101520.png;correct;6D;2;1;5;5;6;2;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101553.png;correct;6D;4;3;1;3;3;5;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101616.png;correct;4D;6;6;3;1;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101625.png;correct;4D;6;2;3;4;;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101739.png;correct;7D;5;6;6;6;3;1;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101749.png;correct;7D;1;6;4;4;6;1;5;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101756.png;correct;7D;2;5;3;4;3;5;4;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101808.png;correct;7D;3;6;5;3;3;1;4;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101820.png;correct;7D;3;6;2;2;3;2;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101832.png;correct;7D;1;3;6;2;5;3;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101845.png;correct;7D;4;3;3;4;4;3;5;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101853.png;correct;7D;2;1;5;2;2;2;5;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101908.png;clustering;5D;6;8;4;4;5;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101918.png;correct;7D;1;5;2;1;3;1;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101925.png;correct;7D;5;5;4;6;3;1;5;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101935.png;correct;7D;3;3;1;6;4;3;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101947.png;clustering;6D;7;1;6;3;2;3;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-101957.png;correct;7D;6;5;1;3;6;2;2;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-102008.png;correct;7D;4;4;3;6;1;2;6;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-102023.png;correct;7D;3;6;5;6;2;2;1;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-102032.png;clustering;5D;2;6;13;3;6;;;;
C://Users/acer/Pictures/Pictures/Screenshot_20221208-102039.png;correct;7D;1;3;3;6;2;4;1;;
